cell_id,method,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_ratio,decay_rate,num_steps,check_sleep_interval,elapsed_s,returncode
0,none,mnist,42,0.5428571428571428,0.8904299583911235,0.569060773480663,,0.0,,100,3500,190.81705,0
1,none,mnist,43,0.5706521739130435,0.8647887323943662,0.5561797752808989,,0.0,,100,3500,227.220842,0
2,none,mnist,44,0.3559322033898305,0.6870653685674548,0.4111111111111111,,0.0,,100,3500,283.89868,0
3,none,mnist,45,0.5271739130434783,0.7223756906077348,0.5164835164835165,,0.0,,100,3500,181.622678,0
4,none,mnist,46,0.5652173913043478,0.8543689320388349,0.6298342541436464,,0.0,,100,3500,186.543889,0
5,none,fmnist,42,0.4911242603550296,0.6223776223776224,0.5083798882681564,,0.0,,100,3500,181.789315,0
6,none,fmnist,43,0.12571428571428572,0.13793103448275862,0.09340659340659341,,0.0,,100,3500,188.769468,0
7,none,fmnist,44,0.29444444444444445,0.37447988904299584,0.39779005524861877,,0.0,,100,3500,387.235496,0
8,none,fmnist,45,0.5706521739130435,0.6717877094972067,0.5,,0.0,,100,3500,184.182164,0
9,none,fmnist,46,0.2569832402234637,0.3632596685082873,0.3370165745856354,,0.0,,100,3500,191.032985,0
10,none,kmnist,42,0.532608695652174,0.679945054945055,0.546448087431694,,0.0,,100,3500,197.485873,0
11,none,kmnist,43,0.4602272727272727,0.49860335195530725,0.43333333333333335,,0.0,,100,3500,215.913592,0
12,none,kmnist,44,0.42857142857142855,0.4755244755244755,0.46368715083798884,,0.0,,100,3500,400.829911,0
13,none,kmnist,45,0.478494623655914,0.7033898305084746,0.536723163841808,,0.0,,100,3500,192.139474,0
14,none,kmnist,46,0.46994535519125685,0.6016830294530154,0.5139664804469274,,0.0,,100,3500,211.032628,0
15,none,notmnist,42,0.554945054945055,0.9903713892709766,0.5989010989010989,,0.0,,100,3500,314.696106,0
16,none,notmnist,43,0.592391304347826,0.9887005649717514,0.5875706214689266,,0.0,,100,3500,201.232537,0
17,none,notmnist,44,0.559322033898305,0.9986149584487535,0.6022099447513812,,0.0,,100,3500,211.73375,0
18,none,notmnist,45,0.5257142857142857,0.9986013986013986,0.5810055865921788,,0.0,,100,3500,223.103579,0
19,none,notmnist,46,0.5363128491620112,0.9930939226519337,0.5248618784530387,,0.0,,100,3500,212.30156,0
20,sleep,mnist,42,0.7657142857142857,0.9336099585062241,0.7569060773480663,,0.1,,100,3500,164.33216,0
