"term","estimate","std_error","z","p","sig"
"Intercept (0\% sleep)",-0.121034922729477,0.215525014922659,-0.561581785635929,0.574400993202134,""
"Sleep duration 10\%",0.68073153909881,0.258946051943985,2.62885467450983,0.00856729642944868,"**"
"Sleep duration 20\%",-0.0826098895982992,0.255341024332185,-0.323527681516732,0.746295646959601,""
"Sleep duration 30\%",-0.675449652681892,0.262887947017541,-2.5693443170174,0.0101891162799506,"*"
"Sleep duration 40\%",-0.233486248039794,0.25944690065213,-0.899938474704911,0.368152993547059,""
"Sleep duration 50\%",-0.381530595400573,0.25807084380105,-1.47839480733709,0.139302134473822,""
"Sleep duration 60\%",-0.637340550835545,0.259282048203304,-2.45809748593086,0.0139675253300246,"*"
"Sleep duration 70\%",-0.890268372228355,0.261593935565366,-3.40324545484694,0.000665904288451446,"***"
"Sleep duration 80\%",-0.822999248178005,0.2606950867539,-3.15694192178976,0.00159433097718073,"**"
"Sleep duration 90\%",-0.825980307773134,0.261004014238016,-3.16462683604514,0.00155281965041231,"**"
"Sleep duration 100\%",-0.790051002807682,0.261206607251881,-3.02462105043858,0.00248944827781092,"**"
