sigma,arm,seed,acc
2.0,anti,42,0.7828571428571428
2.0,anti,43,0.7554347826086957
2.0,anti,44,0.7796610169491526
2.0,anti,45,0.7608695652173914
2.0,anti,46,0.7608695652173914
2.0,normal,42,0.7657142857142857
2.0,normal,43,0.7336956521739131
2.0,normal,44,0.7740112994350282
2.0,normal,45,0.7663043478260869
2.0,normal,46,0.7880434782608695
4.0,anti,42,0.7828571428571428
4.0,anti,43,0.7391304347826086
4.0,anti,44,0.7796610169491526
4.0,anti,45,0.75
4.0,anti,46,0.7880434782608695
4.0,normal,42,0.7828571428571428
4.0,normal,43,0.7391304347826086
4.0,normal,44,0.7966101694915254
4.0,normal,45,0.7663043478260869
4.0,normal,46,0.7771739130434783
8.0,anti,42,0.7771428571428571
8.0,anti,43,0.7336956521739131
8.0,anti,44,0.7909604519774012
8.0,anti,45,0.7771739130434783
8.0,anti,46,0.7880434782608695
8.0,normal,42,0.7885714285714286
8.0,normal,43,0.7554347826086957
8.0,normal,44,0.7853107344632768
8.0,normal,45,0.7554347826086957
8.0,normal,46,0.7880434782608695
16.0,anti,42,0.7828571428571428
16.0,anti,43,0.7445652173913043
16.0,anti,44,0.7853107344632768
16.0,anti,45,0.7608695652173914
16.0,anti,46,0.8152173913043478
16.0,normal,42,0.7542857142857143
16.0,normal,43,0.7608695652173914
16.0,normal,44,0.7853107344632768
16.0,normal,45,0.782608695652174
16.0,normal,46,0.7717391304347826
